"","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10","R11","R12","R13","R14","R15","R16","R17","R18","R19","R20","R21","R22","R23","R24","R25","R26","R27","R28","R29","R30","R31","R32","R33","R34","R35","R36","R37","R38","R39","R40","R41","R42","R43","R44","R45","R46","R47","R48","R49","R50","R51","R52","R53","R54","R55","R56","R57","R58","R59","R60","R61","R62","R63","R64","R65","R66","R67","R68","R69","R70","R71","R72","R73","R74","R75","R76","R77","R78","R79","R80","R81","R82","R83","R84","R85","R86","R87","R88","R89","R90","R91","R92","R93","R94","R95","R96","R97","R98","R99","R100","R101","R102","R103","R104","R105","R106","R107","R108","R109","R110","R111","R112","R113","R114","R115","R116","R117","R118","R119","R120","R121","R122","R123","R124","R125","R126","R127","R128","R129","R130","R131","R132","R133","R134","R135","R136","R137","R138","R139","R140","R141","R142","R143","R144","R145","R146","R147","R148","R149","R150","R151"
"R66",0.153,0.159,0.135,0.129,0.149,0.143,0.137,0.145,0.143,0.135,0.149,0.153,0.151,0.161,0.151,0.107,0.139,0.185,0.133,0.139,0.149,0.131,0.141,0.141,0.127,0.147,0.169,0.149,0.143,0.143,0.139,0.161,0.131,0.137,0.147,0.161,0.137,0.151,0.177,0.143,0.149,0.147,0.147,0.131,0.137,0.143,0.159,0.135,0.159,0.131,0.159,0.159,0.153,0.129,0.145,0.151,0.145,0.147,0.135,0.145,0.137,0.153,0.155,0.157,0.159,0,0.177,0.161,0.145,0.149,0.143,0.155,0.149,0.119,0.143,0.147,0.163,0.167,0.151,0.159,0.145,0.133,0.137,0.125,0.169,0.135,0.151,0.145,0.153,0.159,0.167,0.177,0.149,0.167,0.143,0.159,0.143,0.133,0.131,0.149,0.137,0.153,0.131,0.145,0.125,0.137,0.147,0.169,0.145,0.167,0.127,0.137,0.151,0.145,0.127,0.153,0.131,0.129,0.135,0.159,0.163,0.171,0.153,0.125,0.159,0.137,0.145,0.149,0.147,0.141,0.153,0.159,0.129,0.151,0.149,0.135,0.155,0.135,0.181,0.139,0.135,0.151,0.149,0.163,0.157,0.127,0.149,0.141,0.151,0.171,0.151
"R67",0.199,0.189,0.173,0.191,0.191,0.193,0.183,0.195,0.201,0.169,0.179,0.195,0.169,0.183,0.189,0.157,0.181,0.211,0.167,0.177,0.191,0.177,0.171,0.179,0.177,0.193,0.219,0.171,0.193,0.185,0.185,0.203,0.173,0.159,0.197,0.207,0.183,0.181,0.207,0.181,0.183,0.173,0.189,0.177,0.171,0.185,0.177,0.173,0.197,0.161,0.181,0.173,0.191,0.183,0.183,0.189,0.183,0.197,0.161,0.187,0.167,0.191,0.193,0.183,0.181,0.177,0,0.199,0.207,0.203,0.193,0.177,0.211,0.173,0.193,0.181,0.185,0.193,0.173,0.185,0.187,0.171,0.163,0.171,0.195,0.173,0.181,0.175,0.215,0.181,0.197,0.227,0.175,0.197,0.169,0.185,0.189,0.187,0.177,0.179,0.187,0.179,0.181,0.171,0.167,0.175,0.181,0.199,0.191,0.209,0.173,0.167,0.173,0.195,0.169,0.179,0.181,0.167,0.177,0.201,0.181,0.209,0.183,0.179,0.189,0.199,0.183,0.191,0.193,0.203,0.187,0.185,0.187,0.205,0.175,0.173,0.185,0.173,0.195,0.185,0.165,0.197,0.187,0.201,0.183,0.169,0.191,0.175,0.169,0.197,0.189
"R68",0.171,0.181,0.153,0.175,0.171,0.153,0.155,0.175,0.185,0.153,0.163,0.183,0.161,0.171,0.177,0.137,0.173,0.179,0.163,0.173,0.171,0.161,0.167,0.175,0.137,0.173,0.199,0.179,0.173,0.173,0.157,0.179,0.157,0.159,0.189,0.191,0.163,0.157,0.187,0.161,0.167,0.173,0.173,0.161,0.151,0.165,0.169,0.157,0.169,0.153,0.157,0.189,0.179,0.163,0.171,0.185,0.167,0.177,0.157,0.163,0.175,0.175,0.169,0.179,0.173,0.161,0.199,0,0.167,0.175,0.165,0.177,0.175,0.149,0.157,0.173,0.193,0.193,0.169,0.177,0.167,0.175,0.159,0.163,0.195,0.165,0.165,0.163,0.195,0.161,0.173,0.199,0.167,0.193,0.173,0.181,0.157,0.155,0.165,0.163,0.175,0.175,0.161,0.175,0.155,0.171,0.177,0.187,0.167,0.197,0.145,0.167,0.165,0.175,0.153,0.171,0.153,0.163,0.165,0.165,0.169,0.181,0.171,0.155,0.177,0.171,0.179,0.171,0.197,0.179,0.171,0.177,0.139,0.157,0.159,0.161,0.185,0.165,0.183,0.161,0.149,0.181,0.179,0.181,0.171,0.149,0.155,0.159,0.165,0.173,0.173
"R69",0.167,0.177,0.153,0.167,0.155,0.149,0.163,0.167,0.173,0.149,0.159,0.179,0.161,0.171,0.177,0.125,0.149,0.195,0.155,0.149,0.167,0.161,0.167,0.175,0.141,0.153,0.187,0.167,0.173,0.145,0.165,0.175,0.157,0.163,0.181,0.175,0.155,0.149,0.191,0.153,0.131,0.161,0.145,0.137,0.159,0.161,0.177,0.173,0.157,0.149,0.169,0.165,0.167,0.151,0.147,0.181,0.167,0.181,0.149,0.159,0.167,0.171,0.157,0.171,0.165,0.145,0.207,0.167,0,0.179,0.157,0.173,0.179,0.137,0.165,0.177,0.185,0.165,0.169,0.161,0.155,0.155,0.151,0.151,0.187,0.153,0.153,0.159,0.183,0.153,0.181,0.187,0.167,0.177,0.157,0.177,0.161,0.159,0.157,0.159,0.171,0.155,0.161,0.171,0.151,0.163,0.153,0.187,0.163,0.169,0.161,0.151,0.157,0.159,0.133,0.159,0.141,0.155,0.157,0.165,0.169,0.173,0.175,0.147,0.157,0.163,0.167,0.175,0.169,0.167,0.159,0.173,0.155,0.165,0.151,0.141,0.165,0.149,0.183,0.169,0.149,0.173,0.163,0.177,0.171,0.141,0.171,0.151,0.165,0.181,0.141
"R70",0.159,0.169,0.157,0.163,0.155,0.145,0.159,0.171,0.169,0.157,0.147,0.163,0.169,0.179,0.161,0.145,0.169,0.203,0.159,0.161,0.171,0.161,0.163,0.163,0.145,0.169,0.199,0.167,0.161,0.169,0.173,0.151,0.137,0.151,0.177,0.163,0.167,0.157,0.191,0.165,0.159,0.157,0.153,0.149,0.163,0.153,0.177,0.161,0.149,0.141,0.177,0.181,0.175,0.163,0.159,0.173,0.151,0.165,0.145,0.151,0.167,0.167,0.165,0.163,0.169,0.149,0.203,0.175,0.179,0,0.153,0.169,0.175,0.153,0.165,0.169,0.177,0.169,0.161,0.169,0.155,0.163,0.147,0.147,0.175,0.153,0.165,0.171,0.183,0.161,0.173,0.187,0.163,0.197,0.165,0.173,0.149,0.171,0.149,0.155,0.167,0.159,0.153,0.163,0.155,0.159,0.153,0.211,0.155,0.181,0.161,0.151,0.145,0.167,0.145,0.143,0.149,0.151,0.145,0.173,0.173,0.181,0.159,0.147,0.173,0.175,0.159,0.179,0.169,0.155,0.151,0.181,0.147,0.161,0.163,0.145,0.165,0.161,0.191,0.157,0.125,0.177,0.167,0.181,0.171,0.137,0.167,0.131,0.169,0.189,0.173
"R71",0.165,0.163,0.155,0.157,0.141,0.151,0.153,0.153,0.163,0.131,0.149,0.165,0.151,0.165,0.167,0.127,0.151,0.193,0.149,0.147,0.157,0.147,0.145,0.149,0.139,0.159,0.173,0.161,0.143,0.155,0.163,0.165,0.143,0.137,0.155,0.161,0.161,0.143,0.189,0.143,0.145,0.151,0.159,0.135,0.145,0.155,0.159,0.147,0.147,0.143,0.167,0.167,0.153,0.153,0.145,0.183,0.149,0.183,0.123,0.137,0.149,0.157,0.151,0.153,0.151,0.143,0.193,0.165,0.157,0.153,0,0.151,0.165,0.135,0.163,0.171,0.179,0.171,0.143,0.155,0.141,0.153,0.141,0.145,0.169,0.147,0.159,0.157,0.189,0.159,0.163,0.177,0.153,0.191,0.155,0.167,0.139,0.137,0.151,0.161,0.165,0.165,0.155,0.145,0.149,0.149,0.163,0.189,0.145,0.167,0.139,0.145,0.147,0.161,0.127,0.133,0.135,0.129,0.151,0.155,0.155,0.167,0.145,0.145,0.163,0.169,0.161,0.157,0.155,0.165,0.153,0.155,0.133,0.155,0.145,0.139,0.159,0.155,0.185,0.131,0.123,0.151,0.141,0.155,0.157,0.143,0.145,0.153,0.151,0.163,0.163
"R72",0.173,0.171,0.147,0.161,0.157,0.167,0.141,0.169,0.163,0.139,0.161,0.177,0.159,0.181,0.163,0.119,0.159,0.173,0.157,0.147,0.161,0.159,0.149,0.145,0.135,0.159,0.169,0.181,0.155,0.159,0.151,0.169,0.139,0.145,0.179,0.153,0.157,0.151,0.177,0.163,0.173,0.147,0.155,0.151,0.149,0.155,0.167,0.143,0.167,0.143,0.175,0.175,0.157,0.161,0.153,0.179,0.165,0.159,0.139,0.157,0.153,0.173,0.183,0.173,0.143,0.155,0.177,0.177,0.173,0.169,0.151,0,0.161,0.139,0.147,0.155,0.167,0.183,0.139,0.167,0.161,0.145,0.141,0.153,0.169,0.155,0.159,0.157,0.197,0.163,0.179,0.197,0.165,0.187,0.159,0.179,0.163,0.153,0.147,0.153,0.173,0.165,0.143,0.157,0.149,0.157,0.147,0.189,0.157,0.175,0.147,0.161,0.151,0.165,0.143,0.165,0.131,0.149,0.151,0.171,0.159,0.179,0.149,0.153,0.171,0.173,0.157,0.153,0.179,0.153,0.173,0.175,0.137,0.163,0.149,0.147,0.171,0.155,0.157,0.143,0.143,0.159,0.157,0.147,0.165,0.143,0.137,0.153,0.155,0.175,0.163
"R73",0.171,0.161,0.157,0.155,0.171,0.153,0.167,0.167,0.185,0.157,0.159,0.175,0.161,0.171,0.173,0.141,0.165,0.191,0.167,0.133,0.175,0.153,0.163,0.163,0.141,0.161,0.195,0.171,0.181,0.161,0.161,0.179,0.161,0.155,0.181,0.167,0.171,0.149,0.183,0.177,0.159,0.165,0.173,0.153,0.147,0.149,0.161,0.165,0.173,0.133,0.177,0.173,0.155,0.155,0.175,0.185,0.159,0.181,0.141,0.155,0.171,0.167,0.173,0.163,0.173,0.149,0.211,0.175,0.179,0.175,0.165,0.161,0,0.157,0.165,0.169,0.177,0.185,0.157,0.169,0.155,0.167,0.151,0.147,0.195,0.161,0.145,0.175,0.183,0.173,0.189,0.199,0.155,0.185,0.165,0.181,0.153,0.159,0.161,0.163,0.175,0.175,0.145,0.179,0.143,0.155,0.173,0.175,0.155,0.173,0.145,0.155,0.169,0.179,0.153,0.167,0.129,0.151,0.145,0.169,0.173,0.157,0.163,0.139,0.177,0.163,0.155,0.167,0.165,0.159,0.163,0.173,0.139,0.165,0.159,0.157,0.169,0.165,0.191,0.149,0.149,0.177,0.179,0.181,0.179,0.141,0.139,0.155,0.173,0.181,0.157
"R74",0.133,0.159,0.143,0.145,0.149,0.127,0.141,0.137,0.159,0.127,0.145,0.157,0.135,0.161,0.155,0.099,0.147,0.173,0.129,0.115,0.153,0.135,0.145,0.145,0.127,0.135,0.169,0.157,0.139,0.143,0.143,0.161,0.135,0.137,0.147,0.157,0.141,0.135,0.173,0.139,0.145,0.135,0.139,0.135,0.137,0.139,0.147,0.139,0.143,0.127,0.143,0.143,0.153,0.133,0.129,0.163,0.149,0.155,0.127,0.141,0.141,0.153,0.163,0.157,0.135,0.119,0.173,0.149,0.137,0.153,0.135,0.139,0.157,0,0.147,0.159,0.147,0.155,0.151,0.139,0.129,0.137,0.133,0.129,0.161,0.139,0.147,0.141,0.169,0.155,0.163,0.161,0.129,0.175,0.147,0.159,0.139,0.141,0.147,0.149,0.153,0.149,0.127,0.153,0.129,0.141,0.143,0.185,0.149,0.171,0.139,0.133,0.143,0.157,0.127,0.145,0.135,0.129,0.135,0.163,0.147,0.167,0.157,0.133,0.147,0.157,0.149,0.149,0.159,0.141,0.145,0.159,0.121,0.135,0.137,0.135,0.147,0.135,0.173,0.143,0.119,0.151,0.145,0.151,0.161,0.123,0.145,0.145,0.155,0.163,0.147
"R75",0.161,0.171,0.159,0.153,0.161,0.159,0.153,0.165,0.171,0.151,0.169,0.169,0.147,0.165,0.179,0.123,0.163,0.177,0.157,0.159,0.177,0.139,0.165,0.161,0.143,0.171,0.185,0.177,0.159,0.151,0.159,0.169,0.151,0.149,0.175,0.173,0.157,0.151,0.177,0.159,0.161,0.167,0.147,0.143,0.149,0.167,0.163,0.159,0.167,0.159,0.167,0.175,0.173,0.149,0.157,0.179,0.161,0.175,0.143,0.157,0.157,0.173,0.175,0.157,0.147,0.143,0.193,0.157,0.165,0.165,0.163,0.147,0.165,0.147,0,0.167,0.163,0.187,0.151,0.163,0.161,0.153,0.153,0.153,0.189,0.155,0.159,0.165,0.189,0.167,0.163,0.205,0.157,0.179,0.155,0.163,0.159,0.153,0.147,0.161,0.173,0.165,0.151,0.157,0.145,0.149,0.151,0.197,0.149,0.171,0.147,0.153,0.155,0.161,0.139,0.161,0.147,0.153,0.151,0.171,0.159,0.179,0.173,0.153,0.167,0.169,0.173,0.165,0.179,0.173,0.153,0.159,0.145,0.159,0.149,0.159,0.175,0.155,0.189,0.151,0.151,0.179,0.161,0.175,0.177,0.139,0.157,0.153,0.175,0.175,0.159
"R76",0.169,0.171,0.151,0.153,0.173,0.167,0.153,0.161,0.167,0.163,0.165,0.165,0.171,0.177,0.163,0.143,0.151,0.189,0.157,0.155,0.169,0.155,0.157,0.165,0.139,0.167,0.169,0.177,0.159,0.167,0.171,0.173,0.151,0.133,0.167,0.165,0.153,0.163,0.201,0.155,0.173,0.147,0.155,0.155,0.157,0.155,0.167,0.159,0.167,0.147,0.171,0.167,0.169,0.165,0.169,0.167,0.161,0.171,0.147,0.161,0.165,0.165,0.163,0.161,0.155,0.147,0.181,0.173,0.177,0.169,0.171,0.155,0.169,0.159,0.167,0,0.179,0.175,0.167,0.175,0.157,0.153,0.145,0.145,0.185,0.151,0.171,0.153,0.193,0.159,0.183,0.197,0.153,0.183,0.151,0.183,0.155,0.165,0.163,0.165,0.173,0.153,0.151,0.165,0.141,0.153,0.171,0.181,0.165,0.175,0.155,0.149,0.147,0.169,0.147,0.177,0.151,0.133,0.151,0.183,0.159,0.183,0.161,0.153,0.171,0.165,0.149,0.161,0.179,0.161,0.153,0.163,0.153,0.167,0.157,0.159,0.163,0.163,0.169,0.151,0.139,0.175,0.149,0.183,0.157,0.135,0.157,0.157,0.159,0.175,0.171
"R77",0.173,0.187,0.163,0.165,0.181,0.151,0.161,0.169,0.171,0.167,0.177,0.173,0.167,0.165,0.187,0.143,0.167,0.209,0.165,0.163,0.173,0.147,0.165,0.181,0.147,0.179,0.185,0.169,0.175,0.167,0.171,0.181,0.151,0.165,0.195,0.181,0.169,0.167,0.193,0.175,0.181,0.159,0.171,0.151,0.165,0.179,0.187,0.167,0.187,0.147,0.167,0.175,0.181,0.165,0.161,0.175,0.173,0.179,0.147,0.169,0.177,0.173,0.183,0.173,0.183,0.163,0.185,0.193,0.185,0.177,0.179,0.167,0.177,0.147,0.163,0.179,0,0.187,0.159,0.159,0.173,0.157,0.161,0.153,0.181,0.163,0.171,0.169,0.193,0.167,0.171,0.213,0.165,0.207,0.159,0.191,0.159,0.173,0.163,0.181,0.181,0.173,0.155,0.177,0.157,0.169,0.163,0.205,0.161,0.171,0.159,0.153,0.167,0.185,0.155,0.157,0.159,0.161,0.155,0.195,0.187,0.179,0.161,0.165,0.187,0.193,0.157,0.173,0.183,0.181,0.177,0.171,0.165,0.175,0.165,0.155,0.187,0.167,0.181,0.155,0.155,0.171,0.173,0.179,0.189,0.151,0.169,0.161,0.167,0.179,0.179
"R78",0.185,0.187,0.171,0.169,0.161,0.171,0.177,0.177,0.191,0.167,0.169,0.189,0.159,0.185,0.175,0.151,0.163,0.217,0.165,0.167,0.169,0.151,0.165,0.165,0.151,0.163,0.189,0.177,0.167,0.175,0.183,0.189,0.163,0.169,0.179,0.181,0.169,0.167,0.193,0.167,0.185,0.175,0.171,0.167,0.161,0.171,0.179,0.183,0.159,0.167,0.175,0.179,0.181,0.177,0.169,0.203,0.161,0.195,0.163,0.161,0.161,0.169,0.179,0.165,0.163,0.167,0.193,0.193,0.165,0.169,0.171,0.183,0.185,0.155,0.187,0.175,0.187,0,0.179,0.171,0.161,0.161,0.153,0.177,0.177,0.159,0.175,0.165,0.193,0.179,0.199,0.225,0.177,0.191,0.159,0.199,0.159,0.165,0.167,0.165,0.173,0.173,0.167,0.185,0.157,0.177,0.167,0.205,0.161,0.187,0.171,0.169,0.171,0.185,0.159,0.173,0.163,0.161,0.171,0.175,0.171,0.187,0.173,0.165,0.171,0.197,0.177,0.177,0.191,0.173,0.177,0.187,0.165,0.179,0.161,0.163,0.163,0.171,0.193,0.163,0.163,0.183,0.165,0.179,0.185,0.155,0.173,0.169,0.175,0.179,0.175
"R79",0.169,0.159,0.151,0.165,0.141,0.139,0.141,0.149,0.163,0.143,0.153,0.161,0.143,0.161,0.159,0.131,0.151,0.193,0.149,0.147,0.149,0.155,0.157,0.141,0.135,0.151,0.181,0.165,0.155,0.155,0.143,0.173,0.131,0.141,0.171,0.157,0.157,0.155,0.181,0.159,0.153,0.151,0.151,0.139,0.149,0.159,0.167,0.151,0.163,0.143,0.171,0.167,0.165,0.141,0.149,0.171,0.153,0.171,0.135,0.153,0.145,0.165,0.159,0.165,0.143,0.151,0.173,0.169,0.169,0.161,0.143,0.139,0.157,0.151,0.151,0.167,0.159,0.179,0,0.151,0.145,0.149,0.141,0.149,0.177,0.147,0.163,0.145,0.181,0.159,0.159,0.177,0.145,0.179,0.155,0.167,0.155,0.149,0.135,0.157,0.161,0.157,0.143,0.153,0.137,0.149,0.143,0.173,0.157,0.171,0.135,0.145,0.155,0.149,0.143,0.145,0.131,0.141,0.155,0.167,0.167,0.187,0.145,0.149,0.159,0.161,0.141,0.149,0.167,0.149,0.145,0.159,0.133,0.167,0.153,0.135,0.163,0.147,0.173,0.139,0.131,0.155,0.153,0.159,0.165,0.147,0.137,0.149,0.143,0.175,0.167
"R80",0.173,0.171,0.155,0.165,0.165,0.147,0.145,0.153,0.171,0.155,0.145,0.173,0.151,0.161,0.175,0.131,0.155,0.209,0.157,0.155,0.165,0.147,0.145,0.157,0.135,0.159,0.181,0.161,0.163,0.147,0.159,0.161,0.143,0.141,0.187,0.161,0.169,0.151,0.177,0.151,0.149,0.159,0.159,0.139,0.145,0.167,0.159,0.147,0.159,0.147,0.175,0.163,0.173,0.161,0.157,0.183,0.153,0.183,0.135,0.161,0.141,0.161,0.175,0.161,0.159,0.159,0.185,0.177,0.161,0.169,0.155,0.167,0.169,0.139,0.163,0.175,0.159,0.171,0.151,0,0.145,0.153,0.141,0.157,0.169,0.163,0.135,0.161,0.185,0.175,0.167,0.185,0.161,0.179,0.155,0.175,0.143,0.157,0.155,0.157,0.173,0.165,0.155,0.169,0.137,0.165,0.163,0.189,0.145,0.179,0.159,0.153,0.159,0.173,0.147,0.169,0.147,0.153,0.167,0.171,0.175,0.171,0.165,0.149,0.167,0.173,0.145,0.165,0.167,0.173,0.169,0.171,0.141,0.171,0.153,0.159,0.167,0.155,0.185,0.151,0.147,0.163,0.169,0.171,0.157,0.147,0.157,0.145,0.171,0.179,0.163
"R81",0.151,0.165,0.157,0.151,0.147,0.141,0.159,0.155,0.149,0.145,0.151,0.163,0.145,0.167,0.169,0.125,0.153,0.195,0.143,0.141,0.151,0.137,0.147,0.163,0.129,0.157,0.167,0.167,0.157,0.165,0.157,0.163,0.125,0.139,0.165,0.155,0.143,0.137,0.171,0.153,0.139,0.149,0.145,0.133,0.143,0.145,0.149,0.153,0.161,0.137,0.161,0.173,0.147,0.139,0.151,0.165,0.147,0.169,0.125,0.143,0.151,0.151,0.157,0.159,0.153,0.145,0.187,0.167,0.155,0.155,0.141,0.161,0.155,0.129,0.161,0.157,0.173,0.161,0.145,0.145,0,0.151,0.135,0.139,0.175,0.145,0.157,0.147,0.183,0.149,0.173,0.175,0.143,0.189,0.149,0.169,0.137,0.159,0.141,0.159,0.159,0.151,0.137,0.159,0.139,0.143,0.149,0.175,0.151,0.169,0.145,0.143,0.141,0.155,0.133,0.151,0.137,0.127,0.157,0.153,0.161,0.173,0.143,0.147,0.149,0.143,0.155,0.159,0.165,0.151,0.147,0.149,0.131,0.157,0.151,0.141,0.141,0.153,0.183,0.141,0.125,0.157,0.143,0.169,0.171,0.133,0.155,0.143,0.149,0.173,0.157
"R82",0.163,0.165,0.137,0.147,0.147,0.149,0.155,0.155,0.165,0.137,0.159,0.163,0.149,0.163,0.157,0.121,0.137,0.179,0.151,0.141,0.155,0.145,0.135,0.143,0.137,0.157,0.179,0.163,0.153,0.145,0.157,0.155,0.141,0.147,0.161,0.155,0.139,0.149,0.183,0.153,0.151,0.145,0.145,0.137,0.147,0.153,0.157,0.153,0.153,0.137,0.169,0.161,0.151,0.143,0.151,0.169,0.163,0.173,0.137,0.143,0.143,0.167,0.165,0.159,0.157,0.133,0.171,0.175,0.155,0.163,0.153,0.145,0.167,0.137,0.153,0.153,0.157,0.161,0.149,0.153,0.151,0,0.127,0.139,0.175,0.149,0.157,0.163,0.183,0.157,0.161,0.195,0.151,0.193,0.141,0.177,0.137,0.159,0.141,0.151,0.167,0.159,0.153,0.155,0.143,0.155,0.137,0.179,0.143,0.169,0.149,0.131,0.145,0.151,0.133,0.143,0.137,0.135,0.157,0.169,0.161,0.177,0.155,0.135,0.161,0.159,0.163,0.163,0.165,0.135,0.143,0.173,0.135,0.157,0.147,0.125,0.157,0.141,0.163,0.153,0.129,0.153,0.151,0.157,0.167,0.125,0.163,0.135,0.157,0.161,0.157
"R83",0.143,0.157,0.137,0.151,0.119,0.133,0.139,0.147,0.149,0.129,0.147,0.151,0.129,0.155,0.141,0.113,0.129,0.183,0.147,0.141,0.147,0.133,0.127,0.139,0.113,0.129,0.171,0.151,0.141,0.133,0.141,0.155,0.133,0.123,0.165,0.155,0.143,0.133,0.179,0.145,0.139,0.133,0.133,0.133,0.127,0.133,0.145,0.149,0.141,0.121,0.141,0.141,0.139,0.135,0.143,0.161,0.131,0.157,0.121,0.139,0.143,0.151,0.157,0.155,0.145,0.137,0.163,0.159,0.151,0.147,0.141,0.141,0.151,0.133,0.153,0.145,0.161,0.153,0.141,0.141,0.135,0.127,0,0.119,0.159,0.141,0.145,0.127,0.175,0.153,0.149,0.171,0.135,0.165,0.145,0.153,0.137,0.135,0.141,0.135,0.155,0.151,0.137,0.139,0.131,0.131,0.141,0.167,0.143,0.141,0.121,0.119,0.145,0.143,0.117,0.131,0.133,0.127,0.129,0.157,0.149,0.153,0.143,0.135,0.145,0.155,0.147,0.139,0.157,0.139,0.139,0.157,0.115,0.153,0.135,0.133,0.133,0.133,0.159,0.137,0.109,0.157,0.147,0.157,0.135,0.133,0.143,0.131,0.141,0.165,0.145
"R84",0.147,0.157,0.145,0.139,0.139,0.145,0.139,0.151,0.153,0.141,0.135,0.151,0.145,0.147,0.153,0.121,0.141,0.183,0.143,0.137,0.151,0.145,0.147,0.155,0.117,0.149,0.179,0.151,0.145,0.153,0.141,0.151,0.125,0.143,0.169,0.159,0.139,0.133,0.179,0.145,0.147,0.145,0.141,0.141,0.139,0.141,0.149,0.149,0.145,0.129,0.149,0.157,0.151,0.135,0.147,0.145,0.139,0.145,0.125,0.135,0.147,0.143,0.165,0.147,0.141,0.125,0.171,0.163,0.151,0.147,0.145,0.153,0.147,0.129,0.153,0.145,0.153,0.177,0.149,0.157,0.139,0.139,0.119,0,0.155,0.137,0.149,0.139,0.175,0.149,0.157,0.179,0.139,0.173,0.137,0.165,0.133,0.151,0.149,0.147,0.155,0.147,0.137,0.147,0.139,0.131,0.149,0.171,0.147,0.153,0.125,0.123,0.141,0.147,0.137,0.147,0.137,0.135,0.137,0.165,0.153,0.161,0.147,0.135,0.157,0.147,0.147,0.159,0.157,0.151,0.135,0.165,0.139,0.157,0.151,0.129,0.149,0.141,0.159,0.137,0.125,0.141,0.143,0.153,0.167,0.129,0.151,0.135,0.137,0.141,0.149
"R85",0.167,0.197,0.181,0.171,0.171,0.177,0.175,0.191,0.193,0.169,0.175,0.179,0.177,0.187,0.173,0.141,0.185,0.207,0.159,0.165,0.175,0.169,0.151,0.183,0.153,0.173,0.195,0.163,0.149,0.181,0.165,0.187,0.157,0.159,0.185,0.191,0.171,0.181,0.183,0.169,0.179,0.157,0.161,0.165,0.171,0.169,0.185,0.169,0.177,0.165,0.189,0.193,0.171,0.179,0.171,0.193,0.175,0.189,0.145,0.167,0.171,0.159,0.197,0.179,0.181,0.169,0.195,0.195,0.187,0.175,0.169,0.169,0.195,0.161,0.189,0.185,0.181,0.177,0.177,0.169,0.175,0.175,0.159,0.155,0,0.177,0.185,0.191,0.195,0.173,0.181,0.215,0.171,0.193,0.153,0.193,0.173,0.175,0.149,0.179,0.191,0.179,0.169,0.167,0.159,0.171,0.181,0.215,0.163,0.185,0.165,0.155,0.173,0.179,0.157,0.187,0.169,0.163,0.169,0.193,0.169,0.189,0.163,0.163,0.185,0.187,0.163,0.187,0.185,0.171,0.155,0.177,0.155,0.189,0.183,0.161,0.177,0.173,0.199,0.169,0.149,0.157,0.163,0.185,0.187,0.165,0.175,0.163,0.177,0.185,0.181
"R86",0.149,0.163,0.147,0.157,0.145,0.143,0.145,0.141,0.155,0.131,0.145,0.161,0.155,0.165,0.159,0.123,0.151,0.185,0.145,0.147,0.145,0.151,0.149,0.137,0.131,0.155,0.157,0.149,0.155,0.143,0.135,0.161,0.139,0.125,0.167,0.157,0.149,0.155,0.181,0.147,0.149,0.147,0.127,0.131,0.153,0.155,0.163,0.143,0.163,0.139,0.139,0.159,0.137,0.161,0.153,0.167,0.157,0.159,0.127,0.137,0.149,0.153,0.147,0.153,0.159,0.135,0.173,0.165,0.153,0.153,0.147,0.155,0.161,0.139,0.155,0.151,0.163,0.159,0.147,0.163,0.145,0.149,0.141,0.137,0.177,0,0.147,0.149,0.173,0.163,0.167,0.181,0.145,0.171,0.143,0.159,0.139,0.153,0.147,0.149,0.157,0.149,0.139,0.141,0.133,0.153,0.151,0.177,0.149,0.163,0.131,0.141,0.139,0.157,0.143,0.149,0.139,0.129,0.143,0.159,0.155,0.151,0.153,0.145,0.155,0.161,0.157,0.153,0.163,0.153,0.153,0.143,0.137,0.163,0.133,0.139,0.155,0.143,0.165,0.135,0.139,0.155,0.145,0.167,0.165,0.123,0.145,0.129,0.151,0.155,0.147
"R87",0.173,0.171,0.147,0.153,0.165,0.139,0.153,0.173,0.171,0.155,0.145,0.173,0.143,0.153,0.159,0.135,0.151,0.197,0.153,0.151,0.169,0.139,0.145,0.165,0.143,0.155,0.185,0.161,0.175,0.151,0.159,0.169,0.151,0.141,0.167,0.173,0.161,0.143,0.185,0.155,0.149,0.159,0.143,0.147,0.149,0.159,0.167,0.143,0.163,0.135,0.155,0.171,0.157,0.157,0.145,0.167,0.153,0.171,0.119,0.149,0.149,0.173,0.151,0.149,0.159,0.151,0.181,0.165,0.153,0.165,0.159,0.159,0.145,0.147,0.159,0.171,0.171,0.175,0.163,0.135,0.157,0.157,0.145,0.149,0.185,0.147,0,0.169,0.193,0.159,0.179,0.193,0.157,0.179,0.147,0.175,0.151,0.153,0.163,0.161,0.153,0.153,0.143,0.157,0.133,0.153,0.147,0.185,0.149,0.183,0.143,0.145,0.155,0.165,0.151,0.157,0.147,0.145,0.147,0.163,0.155,0.147,0.165,0.145,0.167,0.165,0.161,0.165,0.159,0.165,0.153,0.183,0.141,0.175,0.149,0.143,0.163,0.135,0.173,0.147,0.143,0.171,0.157,0.171,0.161,0.139,0.153,0.145,0.163,0.175,0.155
